time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,81.92173403128452,1382.287966226922,6.547872539993429,10.034748973442232,15.323097005501209 
10,59.16564979753826,3502.607552755672,5.730687165505451,14.050011578435324,12.698556165466213 
20,57.205280213316186,4205.0598007771705,8.698008807895187,10.867163885608178,11.725668504988908 
30,74.55733206864619,735.4103569554476,3.8569468613022257,3.855122349625043,3.662179356116197 
40,85.54680057797529,2421.5462785410195,9.053008041712204,17.436881012622273,15.271693564584723 
50,79.20926523330326,2874.0906719106974,9.879899103701401,21.720688816579152,16.145582071040316 
60,65.07410430515749,1118.5979344533432,8.478608067633681,18.162943824631824,11.782107153201803 
70,68.37670447431044,2230.3722826122475,5.968625832598802,20.369363696793638,15.953635560854659 
80,86.32761988908848,2652.0311166102524,20.962703613810255,43.67482246494737,34.305030365710074 
90,102.71808465572094,3018.481953991737,10.618304998183033,20.672042682006143,25.713182650150493 
