time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,115.00978947368422,1661.0732,18.849,33.8058,39.132600000000004 
10,95.37937837837839,4346.432416666667,22.351666666666663,41.947250000000004,48.21175 
20,69.07484615384615,6099.743833333334,21.016333333333332,35.6435,49.32533333333333 
30,101.39557499999998,1294.8624545454547,16.383,30.069818181818185,33.657999999999994 
40,101.04753030303033,2989.107954545454,19.33118181818182,39.81222727272728,42.409181818181814 
50,98.81877049180328,3915.0069047619045,23.237714285714286,42.105,46.69833333333332 
60,98.35621311475407,1971.6093684210527,20.30684210526316,40.953210526315786,42.25863157894738 
70,97.4632440944882,2115.357756097561,18.253365853658533,42.56404878048782,45.68641463414635 
80,114.89741599999996,2973.68430952381,26.86990476190477,58.31780952380952,58.65719047619049 
90,112.9593648648649,3942.1232857142863,23.69346428571428,45.85082142857143,58.62399999999999 
