time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,1.9,0.5,0.5,0.5,0.5 
10,3.7,1.2,1.2,1.2,1.2 
20,1.3,0.6,0.6,0.6,0.6 
30,4,1.1,1.1,1.1,1.1 
40,6.6,2.2,2.2,2.2,2.2 
50,6.1,2.1,2.1,2.1,2.1 
60,6.1,1.9,1.9,1.9,1.9 
70,12.7,4.1,4.1,4.1,4.1 
80,12.5,4.2,4.2,4.2,4.2 
90,7.4,2.8,2.8,2.8,2.8 
