time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,281.385,3937.825,30.757,53.797,69.561 
10,281.385,13138.657,34.578,74.349,75.607 
20,281.385,13255.063,39.337,74.349,75.607 
30,281.385,13255.063,39.337,74.349,75.607 
40,377.08,13255.063,44.619,90.1,85.258 
50,437.311,13255.063,48.84,122.636,99.342 
60,437.311,13255.063,48.84,122.636,99.342 
70,437.311,13255.063,48.84,122.636,114.677 
80,437.311,13255.063,104.881,201.597,198.729 
90,437.311,13255.063,104.881,201.597,198.729 
