time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,14.811,441.432,12.677,27.778,29.078 
10,14.22,302.93,12.046,27.393,29.078 
20,14.22,302.93,12.046,27.393,29.078 
30,12.959,302.93,12.013,24.859,28.619 
40,12.959,229.477,12.013,22.824,28.619 
50,12.959,229.477,12.013,22.824,28.619 
60,12.959,229.477,11.807,22.824,28.619 
70,12.959,182.6,11.156,22.824,28.619 
80,12.959,153.848,11.156,22.824,28.619 
90,12.959,153.848,11.156,22.824,28.619 
