time,page,tr_BACK_TO_HOME_PAGE,tr_LOG_IN,tr_VIEW_ANOTHER_TAG,tr_VIEW_POST,tr_VIEW_TAG 
0,155.62829032258065,45.2740625,169.601375,35.5336,20.3445625,40.968374999999995 
10,160.49877500000002,47.88194736842105,181.2225,33.93925,22.32295,34.098349999999996 
20,140.9147608695652,38.59579166666666,156.78656521739134,35.41552173913044,20.619130434782615,30.56513043478261 
30,135.12268749999998,45.86757142857143,149.762,28.890124999999998,18.341999999999995,30.78125 
40,131.31413333333336,35.2755,151.3344285714286,30.015625,19.824875,29.19814285714286 
50,145.21326923076924,40.69146153846153,160.0723076923077,32.18599999999999,26.402846153846152,31.386384615384618 
60,129.97921428571428,37.06957142857142,144.94585714285714,25.69242857142857,20.534285714285712,31.956142857142858 
70,131.92825,44.219833333333334,142.34050000000002,27.333166666666667,18.442833333333333,31.739 
80,174.89549999999997,49.2174,208.2214,36.662,26.7956,30.017000000000003 
90,135.80933333333334,49.508,127.38933333333334,37.605,27.829666666666668,29.530666666666665 
100,137.2535,48.87,132.301,24.094,31.268,38.22 
110,109.22449999999999,30.3985,124.757,21.747500000000002,14.693,27.112000000000002 
120,139.26049999999998,41.777499999999996,161.8555,30.229,20.2365,24.659 
126,143.6585,28.768,175.366,22.29,16.083,45.06 
