time,page,tr_BACK_TO_HOME_PAGE,tr_LOG_IN,tr_VIEW_ANOTHER_TAG,tr_VIEW_POST,tr_VIEW_TAG 
0,317.463,89.012,299.844,74.956,38.896,155.009 
10,365.239,168.358,362.371,86.727,57.586,155.009 
20,365.239,168.358,362.371,86.727,57.586,155.009 
30,365.239,168.358,362.371,86.727,57.586,155.009 
40,365.239,168.358,362.371,86.727,57.586,155.009 
50,365.239,168.358,362.371,86.727,75.914,155.009 
60,365.239,168.358,362.371,86.727,75.914,155.009 
70,365.239,168.358,362.371,86.727,75.914,155.009 
80,365.239,168.358,362.371,86.727,75.914,155.009 
90,365.239,168.358,362.371,86.727,75.914,155.009 
100,365.239,168.358,362.371,86.727,75.914,155.009 
110,365.239,168.358,362.371,86.727,75.914,155.009 
120,365.239,168.358,362.371,86.727,75.914,155.009 
126,365.239,168.358,362.371,86.727,75.914,155.009 
