time,page,tr_BACK_TO_HOME_PAGE,tr_LOG_IN,tr_VIEW_ANOTHER_TAG,tr_VIEW_POST,tr_VIEW_TAG 
0,53.72301738709189,16.439612763340676,47.675919049708675,14.945345084897395,5.844029089258005,31.70085720425198 
10,70.28362407932858,32.60875662258397,68.97014978778861,15.936500697690821,10.549306837299785,20.811333893518214 
20,42.41340932298816,11.797652110975179,46.26254065451837,13.533714994556195,7.091801128335195,9.652943715483435 
30,40.236238707660576,14.670804280778128,31.075239725543543,14.654704879641042,5.035457873917723,14.91592873197978 
40,40.596968615676495,8.375260369087043,46.95436129707577,8.093663338339134,3.622703908598521,10.301798919586414 
50,52.2348987618267,14.397227840084005,47.01287695512403,15.80179840787361,17.681031282340424,17.14803237216114 
60,23.69683659472164,4.3768718071616535,19.74652606285522,3.879463617458435,5.850139893670082,8.54176536501796 
70,22.479921793773357,11.175654767047085,23.508223970559737,5.652802414633726,3.381465432652272,7.183868154877753 
80,48.987164007013114,13.29669419968738,45.19887753739023,16.288883743215802,11.543296420000656,7.791276198415765 
90,13.809887564913607,5.485605587960793,5.977041315641783,11.565091468149602,4.724460133767195,6.531399764896411 
100,5.4424999999999955,0.0,0.0,0.0,0.0,0.0 
110,15.520886725635231,0.4204999999999979,1.181000000000008,0.9545000000000003,0.7850000000000001,4.857000000000002 
120,30.588139282244672,11.217499999999998,26.4215,8.802999999999999,3.028500000000001,3.0050000000000017 
126,31.2885,0.0,0.0,0.0,0.0,0.0 
