time,size_sent,size_rcv 
0,40.74296875,10629.85546875 
10,50.59453125,13270.00234375 
20,59.003125,15643.09296875 
30,19.58359375,5121.8859375 
40,18.61328125,5036.4046875 
50,33.1734375,8691.503125 
60,17.825,4712.034375 
70,15.25859375,4055.2015625 
80,12.7515625,3409.6234375 
90,7.63671875,2026.8 
100,2.5328125,658.58984375 
110,5.11328125,1357.33671875 
120,5.096875,1333.92265625 
126,2.53359375,676.47890625 
