time,page,tr_BACK_TO_HOME_PAGE,tr_LOG_IN,tr_VIEW_ANOTHER_TAG,tr_VIEW_POST,tr_VIEW_TAG 
0,85.488,27.062,114.099,21.497,14.579,20.509 
10,80.141,26.325,112.897,19.63,13.05,19.318 
20,80.141,26.325,112.897,19.63,13.05,19.318 
30,80.141,26.325,112.897,19.63,13.05,18.422 
40,80.141,26.325,112.897,19.63,13.05,18.422 
50,80.141,26.325,112.897,19.63,13.05,18.422 
60,80.141,26.325,112.897,19.63,13.05,18.422 
70,80.141,26.325,112.897,19.63,13.05,18.422 
80,80.141,26.325,112.897,19.63,13.05,18.422 
90,80.141,26.325,112.897,19.63,13.05,18.422 
100,80.141,26.325,112.897,19.63,13.05,18.422 
110,80.141,26.325,112.897,19.63,13.05,18.422 
120,80.141,26.325,112.897,19.63,13.05,18.422 
126,80.141,26.325,112.897,19.63,13.05,18.422 
