time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,14.553,178.216,12.615,25.155,15.025 
10,14.043,178.216,12.277,24.711,14.436 
20,13.369,178.216,12.277,24.711,14.436 
30,13.369,69.286,12.277,24.711,14.436 
40,13.369,69.286,11.868,24.477,14.436 
50,13.369,69.286,11.868,23.903,14.436 
60,13.369,69.286,11.868,23.903,14.436 
70,12.336,58.361,10.461,22.961,14.436 
80,12.336,58.076,10.461,21.958,14.436 
