time,page,tr_LOG_IN,tr_VIEW_Profile,tr_CREATE_TAG,tr_VIEW_TAG 
0,107.551,3585.134,66.901,51.394,34.841 
10,107.551,12422.835,66.901,52.708,34.841 
20,140.613,12422.835,66.901,121.094,35.438 
30,422.906,12422.835,80.189,350.827,73.611 
40,422.906,12440.195,80.189,350.827,73.611 
50,422.906,12749.962,80.189,350.827,73.611 
60,422.906,12749.962,80.189,350.827,73.611 
70,422.906,12749.962,80.189,350.827,73.611 
80,422.906,22311.485,81.084,370.051,101.12 
