time,200,302 
0,5.3,1.8 
10,6.3,2.2 
20,3.1,1.8 
30,6,2 
40,8.7,3.4 
50,10.7,4.6 
60,13.8,4.6 
70,22.9,9.6 
80,21.7,8.3 
