time,page,tr_VIEW_PROFILE,tr_LOG_IN,tr_CREATE_POST 
0,14.105,11.921,476.623,47.376 
10,14.105,11.388,333.66,41.139 
20,14.105,10.147,333.66,38.873 
30,14.105,10.147,185.096,38.873 
40,14.105,10.147,185.096,38.873 
50,14.105,10.147,141.243,38.873 
60,14.105,10.083,37.363,38.873 
70,14.105,10.083,37.363,38.873 
80,14.105,10.083,37.363,38.198 
90,14.105,9.836,37.363,38.198 
97,14.105,9.836,37.363,38.198 
