time,page,tr_VIEW_PROFILE,tr_LOG_IN,tr_CREATE_POST 
0,42.44016666666667,19.763833333333334,1676.4331428571427,81.34528571428571 
10,37.25523529411765,18.584666666666664,3786.5400000000004,61.243818181818185 
20,50.18521875,18.398083333333332,3678.6922500000005,89.24341666666668 
30,34.46410256410257,16.94375,1422.895833333333,56.763749999999995 
40,34.638685714285714,16.609999999999996,3427.6864166666674,58.03041666666667 
50,69.84566071428573,28.683705882352942,2761.3555882352944,137.70788235294114 
60,45.211273684210546,19.4546875,2362.1987812500006,80.27199999999996 
70,34.16247619047619,16.56496875,2607.9706969696963,58.30765625 
80,34.38009734513276,15.892078947368422,3048.074486486486,56.37697368421051 
90,34.258125,14.064521739130434,5562.962391304348,53.47673913043479 
97,41.799499999999995,24.902,20623.391,51.836 
