time,page,tr_VIEW_PROFILE,tr_LOG_IN,tr_CREATE_POST 
0,43.094707080903675,12.82262338494827,884.3796291220883,59.90473570765572 
10,17.973644762882227,7.951040711057194,2397.135869629686,20.36729865525609 
20,46.37630564451419,11.849417654174216,2089.8963018106956,67.82341399234035 
30,12.558895621042874,7.608114813857197,718.4800004822488,9.81183235626761 
40,13.387679996968274,5.240612209783638,2932.5315385778736,12.844805918206353 
50,83.22680550787467,23.05428748376499,2602.187495589772,136.87926348853077 
60,36.54261005526853,11.843155347703744,2074.0539283184744,56.41066186014838 
70,15.622713510475233,7.009365790160578,2229.7816493412397,15.029539791709723 
80,14.110006032226277,6.580612091117915,2798.893162902471,13.951938560808337 
90,12.087410190333369,3.8422028426815285,5077.406907485456,13.900819663719524 
97,11.896499999999998,0.0,0.0,0.0 
