time,page,tr_VIEW_PROFILE,tr_LOG_IN,tr_CREATE_POST 
0,222.961,48.195,3027.236,227.69 
10,222.961,48.195,7667.19,227.69 
20,222.961,52.061,7861.31,247.068 
30,222.961,52.061,7861.31,247.068 
40,222.961,52.061,11643.173,247.068 
50,518.449,97.81,11643.173,597.748 
60,518.449,97.81,11643.173,597.748 
70,518.449,97.81,11643.173,597.748 
80,518.449,97.81,11980.625,597.748 
90,518.449,97.81,20001.905,597.748 
97,518.449,97.81,20623.391,597.748 
